L1,gender,subset,speakers,vowel,label,n_tokens,F1_obs,F1_SD,F1_Hil,dF1_Hil,F1_Hag,dF1_Hag,F2_obs,F2_SD,F2_Hil,dF2_Hil,F2_Hag,dF2_Hag
SPA,M,citation,8,ʊ,ʊ  (hood),80,415.0,73.0,469,-54.0,465,-50.0,1285.0,261.0,1122,163.0,1227,58.0
SPA,M,citation,8,u,u  (who'd),156,403.0,96.0,378,25.0,389,14.0,1280.0,348.0,997,283.0,1395,-115.0
SPA,M,citation,8,ʌ,ʌ  (hud),189,671.0,89.0,623,48.0,687,-16.0,1250.0,156.0,1200,50.0,1233,17.0
TUR,F,all,2,i,i  (heed),292,443.0,104.0,437,6.0,437,6.0,2334.0,286.0,2761,-427.0,2685,-351.0
TUR,F,all,2,ɪ,ɪ  (hid),246,487.0,118.0,483,4.0,595,-108.0,2215.0,293.0,2365,-150.0,2289,-74.0
TUR,F,all,2,ɛ,ɛ  (head),230,653.0,146.0,731,-78.0,748,-95.0,1833.0,272.0,2058,-225.0,2099,-266.0
TUR,F,all,2,æ,æ  (had),238,754.0,159.0,669,85.0,914,-160.0,1717.0,231.0,2349,-632.0,2046,-329.0
TUR,F,all,2,ɑ,ɑ  (hod),129,745.0,143.0,936,-191.0,861,-116.0,1299.0,195.0,1551,-252.0,1437,-138.0
TUR,F,all,2,ʊ,ʊ  (hood),35,443.0,112.0,519,-76.0,575,-132.0,1247.0,245.0,1225,22.0,1521,-274.0
TUR,F,all,2,u,u  (who'd),62,426.0,79.0,459,-33.0,470,-44.0,1293.0,297.0,1105,188.0,1700,-407.0
TUR,F,all,2,ʌ,ʌ  (hud),207,771.0,157.0,753,18.0,799,-28.0,1341.0,176.0,1426,-85.0,1567,-226.0
TUR,F,stressed,2,i,i  (heed),142,433.0,123.0,437,-4.0,437,-4.0,2434.0,217.0,2761,-327.0,2685,-251.0
TUR,F,stressed,2,ɪ,ɪ  (hid),200,486.0,118.0,483,3.0,595,-109.0,2229.0,285.0,2365,-136.0,2289,-60.0
TUR,F,stressed,2,ɛ,ɛ  (head),228,653.0,147.0,731,-78.0,748,-95.0,1831.0,273.0,2058,-227.0,2099,-268.0
TUR,F,stressed,2,æ,æ  (had),235,755.0,159.0,669,86.0,914,-159.0,1714.0,230.0,2349,-635.0,2046,-332.0
TUR,F,stressed,2,ɑ,ɑ  (hod),129,745.0,143.0,936,-191.0,861,-116.0,1299.0,195.0,1551,-252.0,1437,-138.0
TUR,F,stressed,2,ʊ,ʊ  (hood),35,443.0,112.0,519,-76.0,575,-132.0,1247.0,245.0,1225,22.0,1521,-274.0
TUR,F,stressed,2,u,u  (who'd),62,426.0,79.0,459,-33.0,470,-44.0,1293.0,297.0,1105,188.0,1700,-407.0
TUR,F,stressed,2,ʌ,ʌ  (hud),207,771.0,157.0,753,18.0,799,-28.0,1341.0,176.0,1426,-85.0,1567,-226.0
TUR,F,citation,2,i,i  (heed),54,416.0,88.0,437,-21.0,437,-21.0,2498.0,200.0,2761,-263.0,2685,-187.0
TUR,F,citation,2,ɪ,ɪ  (hid),27,513.0,71.0,483,30.0,595,-82.0,2306.0,312.0,2365,-59.0,2289,17.0
TUR,F,citation,2,ɛ,ɛ  (head),87,690.0,134.0,731,-41.0,748,-58.0,1906.0,232.0,2058,-152.0,2099,-193.0
TUR,F,citation,2,æ,æ  (had),52,800.0,155.0,669,131.0,914,-114.0,1700.0,223.0,2349,-649.0,2046,-346.0
TUR,F,citation,2,ɑ,ɑ  (hod),50,799.0,128.0,936,-137.0,861,-62.0,1296.0,173.0,1551,-255.0,1437,-141.0
TUR,F,citation,2,ʊ,ʊ  (hood),9,420.0,78.0,519,-99.0,575,-155.0,1149.0,158.0,1225,-76.0,1521,-372.0
TUR,F,citation,2,u,u  (who'd),31,422.0,83.0,459,-37.0,470,-48.0,1267.0,238.0,1105,162.0,1700,-433.0
TUR,F,citation,2,ʌ,ʌ  (hud),77,836.0,137.0,753,83.0,799,37.0,1332.0,172.0,1426,-94.0,1567,-235.0
TUR,M,all,11,i,i  (heed),1494,348.0,96.0,342,6.0,294,54.0,2038.0,198.0,2322,-284.0,2208,-170.0
TUR,M,all,11,ɪ,ɪ  (hid),1359,371.0,87.0,427,-56.0,458,-87.0,1962.0,230.0,2034,-72.0,1860,102.0
TUR,M,all,11,ɛ,ɛ  (head),1183,542.0,89.0,580,-38.0,584,-42.0,1654.0,205.0,1799,-145.0,1719,-65.0
TUR,M,all,11,æ,æ  (had),1184,603.0,89.0,588,15.0,761,-158.0,1619.0,169.0,1952,-333.0,1633,-14.0
TUR,M,all,11,ɑ,ɑ  (hod),691,624.0,97.0,768,-144.0,731,-107.0,1157.0,168.0,1333,-176.0,1118,39.0
TUR,M,all,11,ʊ,ʊ  (hood),219,387.0,63.0,469,-82.0,465,-78.0,1180.0,185.0,1122,58.0,1227,-47.0
TUR,M,all,11,u,u  (who'd),479,392.0,90.0,378,14.0,389,3.0,1322.0,360.0,997,325.0,1395,-73.0
TUR,M,all,11,ʌ,ʌ  (hud),970,624.0,99.0,623,1.0,687,-63.0,1226.0,153.0,1200,26.0,1233,-7.0
TUR,M,stressed,11,i,i  (heed),815,329.0,76.0,342,-13.0,294,35.0,2060.0,183.0,2322,-262.0,2208,-148.0
TUR,M,stressed,11,ɪ,ɪ  (hid),1132,373.0,87.0,427,-54.0,458,-85.0,1968.0,224.0,2034,-66.0,1860,108.0
TUR,M,stressed,11,ɛ,ɛ  (head),1171,543.0,89.0,580,-37.0,584,-41.0,1653.0,205.0,1799,-146.0,1719,-66.0
TUR,M,stressed,11,æ,æ  (had),1169,603.0,89.0,588,15.0,761,-158.0,1618.0,168.0,1952,-334.0,1633,-15.0
TUR,M,stressed,11,ɑ,ɑ  (hod),691,624.0,97.0,768,-144.0,731,-107.0,1157.0,168.0,1333,-176.0,1118,39.0
TUR,M,stressed,11,ʊ,ʊ  (hood),219,387.0,63.0,469,-82.0,465,-78.0,1180.0,185.0,1122,58.0,1227,-47.0
TUR,M,stressed,11,u,u  (who'd),469,393.0,91.0,378,15.0,389,4.0,1317.0,361.0,997,320.0,1395,-78.0
TUR,M,stressed,11,ʌ,ʌ  (hud),970,624.0,99.0,623,1.0,687,-63.0,1226.0,153.0,1200,26.0,1233,-7.0
TUR,M,citation,11,i,i  (heed),313,329.0,86.0,342,-13.0,294,35.0,2083.0,177.0,2322,-239.0,2208,-125.0
TUR,M,citation,11,ɪ,ɪ  (hid),132,383.0,77.0,427,-44.0,458,-75.0,1974.0,246.0,2034,-60.0,1860,114.0
TUR,M,citation,11,ɛ,ɛ  (head),441,558.0,91.0,580,-22.0,584,-26.0,1680.0,191.0,1799,-119.0,1719,-39.0
TUR,M,citation,11,æ,æ  (had),265,641.0,85.0,588,53.0,761,-120.0,1603.0,164.0,1952,-349.0,1633,-30.0
TUR,M,citation,11,ɑ,ɑ  (hod),232,639.0,94.0,768,-129.0,731,-92.0,1141.0,153.0,1333,-192.0,1118,23.0
TUR,M,citation,11,ʊ,ʊ  (hood),81,389.0,64.0,469,-80.0,465,-76.0,1144.0,155.0,1122,22.0,1227,-83.0
TUR,M,citation,11,u,u  (who'd),235,393.0,91.0,378,15.0,389,4.0,1303.0,374.0,997,306.0,1395,-92.0
TUR,M,citation,11,ʌ,ʌ  (hud),211,653.0,90.0,623,30.0,687,-34.0,1222.0,131.0,1200,22.0,1233,-11.0
